Time [s],Queue length
0.05,1
0.1,0
0.15000000000000002,1
0.2,0
0.25,0
0.3,0
0.35,1
0.39999999999999997,0
0.44999999999999996,0
0.49999999999999994,0
0.5499999999999999,1
0.6,0
0.65,1
0.7000000000000001,0
0.7500000000000001,0
0.8000000000000002,0
0.8500000000000002,1
0.9000000000000002,1
0.9500000000000003,2
1.0000000000000002,2
1.0500000000000003,2
1.1000000000000003,2
1.1500000000000004,2
1.2000000000000004,2
1.2500000000000004,2
1.3000000000000005,2
1.3500000000000005,2
1.4000000000000006,2
1.4500000000000006,3
1.5000000000000007,3
1.5500000000000007,4
1.6000000000000008,4
1.6500000000000008,4
1.7000000000000008,3
1.7500000000000009,2
1.800000000000001,2
1.850000000000001,2
1.900000000000001,2
1.950000000000001,3
2.000000000000001,3
2.0500000000000007,3
2.1000000000000005,3
2.1500000000000004,3
2.2,3
2.25,4
2.3,4
2.3499999999999996,5
2.3999999999999995,5
2.4499999999999993,6
2.499999999999999,6
2.549999999999999,6
2.5999999999999988,6
2.6499999999999986,7
2.6999999999999984,7
2.7499999999999982,7
2.799999999999998,6
2.849999999999998,5
2.8999999999999977,5
2.9499999999999975,5
2.9999999999999973,4
3.049999999999997,4
3.099999999999997,4
3.149999999999997,5
3.1999999999999966,4
3.2499999999999964,4
3.2999999999999963,4
3.349999999999996,3
3.399999999999996,3
3.4499999999999957,4
3.4999999999999956,4
3.5499999999999954,4
3.599999999999995,4
3.649999999999995,4
3.699999999999995,4
3.7499999999999947,4
3.7999999999999945,4
3.8499999999999943,4
3.899999999999994,3
3.949999999999994,3
3.999999999999994,3
4.049999999999994,4
4.099999999999993,4
4.149999999999993,4
4.199999999999993,4
4.249999999999993,5
4.299999999999993,5
4.3499999999999925,6
4.399999999999992,6
4.449999999999992,6
4.499999999999992,6
4.549999999999992,7
4.599999999999992,7
4.6499999999999915,8
4.699999999999991,8
4.749999999999991,8
4.799999999999991,8
4.849999999999991,9
4.899999999999991,9
4.94999999999999,8
4.99999999999999,7
5.04999999999999,6
5.09999999999999,6
5.14999999999999,6
5.1999999999999895,6
5.249999999999989,7
5.299999999999989,7
5.349999999999989,7
5.399999999999989,7
5.449999999999989,7
