ID,Priority,Time spent in system [s],Time spent in queue [s]
0,High,3.049999999999997,0
1,High,1.5000000000000007,0
2,Medium,2.499999999999999,0
3,High,1.0500000000000003,0
4,Low,2.000000000000001,0
5,Medium,2.3999999999999995,0.8500000000000002
6,Medium,4.499999999999992,2.000000000000001
7,Medium,4.749999999999991,1.7000000000000008
8,High,1.1000000000000003,0.1
9,Low,48.099999999999405,48.099999999999405
10,High,1.5500000000000007,0.49999999999999994
11,High,2.4499999999999993,0.44999999999999996
12,Medium,2.3999999999999995,0.8500000000000002
13,Low,47.399999999999444,47.399999999999444
14,Medium,1.7500000000000009,0.7000000000000001
15,Low,46.59999999999949,46.59999999999949
16,Low,45.999999999999524,45.999999999999524
17,Medium,3.7999999999999945,1.3000000000000005
18,High,2.549999999999999,0.5499999999999999
19,High,1.4000000000000006,0.39999999999999997
20,Low,45.39999999999956,45.39999999999956
21,High,1.6500000000000008,0.15000000000000002
22,Low,44.79999999999959,44.79999999999959
23,Medium,1.1500000000000004,0.1
24,Medium,3.2499999999999964,2.2
25,High,3.099999999999997,0.1
26,Medium,3.999999999999994,2.9499999999999975
27,High,1.5500000000000007,0.05
28,High,2.1000000000000005,0.05
29,High,1.1500000000000004,0.1
30,Medium,3.899999999999994,2.3499999999999996
31,High,3.149999999999997,0.6
32,High,2.0500000000000007,0.5499999999999999
33,Low,41.89999999999976,41.89999999999976
34,Medium,6.799999999999984,4.749999999999991
35,High,2.1500000000000004,0.15000000000000002
36,High,3.2499999999999964,0.2
37,Low,40.699999999999825,40.699999999999825
38,Medium,6.349999999999985,3.7999999999999945
39,Medium,5.09999999999999,4.049999999999994
40,High,1.4500000000000006,0.44999999999999996
41,Low,39.89999999999987,39.89999999999987
42,High,2.9999999999999973,0.49999999999999994
43,Low,39.3999999999999,39.3999999999999
44,High,2.3499999999999996,0.35
45,Medium,7.549999999999981,4.499999999999992
46,High,1.7500000000000009,0.25
47,High,1.4000000000000006,0.35
48,Medium,5.449999999999989,4.449999999999992
49,High,3.8499999999999943,0.8000000000000002
50,Medium,6.299999999999986,5.249999999999989
51,Low,38.09999999999997,38.09999999999997
52,High,1.6000000000000008,0.5499999999999999
53,Low,37.40000000000001,37.40000000000001
54,Low,37.200000000000024,37.200000000000024
55,High,1.5500000000000007,0.05
56,Low,37.000000000000036,37.000000000000036
57,Low,35.9000000000001,35.9000000000001
58,Medium,5.249999999999989,3.2499999999999964
59,High,1.7000000000000008,0.15000000000000002
60,Medium,6.299999999999986,4.799999999999991
61,High,1.2500000000000004,0.25
62,High,2.5999999999999988,0.5499999999999999
63,Medium,7.099999999999983,5.599999999999988
64,Medium,8.14999999999998,5.599999999999988
65,High,2.849999999999998,0.3
66,Low,34.1000000000002,34.1000000000002
67,High,1.6500000000000008,0.15000000000000002
68,Low,33.20000000000025,33.20000000000025
69,High,1.5500000000000007,0.05
70,High,1.4000000000000006,0.35
71,Low,32.00000000000032,32.00000000000032
72,High,2.8999999999999977,0.39999999999999997
73,Medium,5.349999999999989,3.349999999999996
74,High,3.2499999999999964,0.2
75,Low,31.500000000000313,31.500000000000313
76,Medium,5.299999999999989,3.7999999999999945
77,High,1.5000000000000007,0.44999999999999996
