Time [s],Rejestracja,Pediatra,Internista,Kardiolog,Dermatolog,Laryngolog,Chirurg,Kasa
0.1,0,0,0,0,0,0,0,0
0.2,1,0,0,0,0,0,0,0
0.30000000000000004,0,0,0,0,0,0,0,0
0.4,1,0,0,0,0,0,0,0
0.5,0,0,0,0,0,0,0,0
0.6,0,0,0,0,0,0,0,0
0.7,0,0,0,0,0,0,0,0
0.7999999999999999,1,0,0,0,0,0,0,0
0.8999999999999999,1,0,0,0,0,0,0,0
0.9999999999999999,1,0,0,0,0,0,0,0
1.0999999999999999,1,0,0,0,0,0,0,0
1.2,2,0,0,0,0,0,0,0
1.3,2,0,0,0,0,0,0,0
1.4000000000000001,2,0,0,0,0,0,0,0
1.5000000000000002,2,0,0,0,0,0,0,0
1.6000000000000003,2,0,0,0,0,1,0,0
1.7000000000000004,2,0,0,0,0,0,0,1
1.8000000000000005,3,0,0,0,0,0,0,1
1.9000000000000006,3,0,0,0,0,0,0,0
2.0000000000000004,4,0,0,0,0,0,0,0
2.1000000000000005,3,0,0,0,0,1,0,0
2.2000000000000006,3,1,0,0,0,1,0,0
2.3000000000000007,3,0,0,0,0,1,0,0
2.400000000000001,4,1,0,0,0,1,0,0
2.500000000000001,4,1,0,0,0,1,0,0
2.600000000000001,4,1,0,0,0,1,0,0
2.700000000000001,4,0,0,0,0,2,0,0
2.800000000000001,5,0,0,0,0,1,0,0
2.9000000000000012,5,0,0,1,0,1,0,1
3.0000000000000013,5,0,0,0,0,1,0,0
3.1000000000000014,4,1,0,0,0,1,0,0
3.2000000000000015,5,2,0,0,0,1,0,0
3.3000000000000016,5,2,0,0,0,1,0,0
3.4000000000000017,5,2,0,0,1,1,0,1
3.5000000000000018,5,1,0,0,1,1,0,0
3.600000000000002,6,1,0,0,1,1,0,0
3.700000000000002,5,1,0,0,0,1,0,1
3.800000000000002,5,1,0,0,0,0,0,1
3.900000000000002,5,0,0,0,0,0,0,1
4.000000000000002,5,0,1,0,0,0,0,2
4.100000000000001,5,0,1,0,0,0,0,1
4.200000000000001,5,0,1,1,0,0,0,0
4.300000000000001,5,0,1,0,0,0,0,0
4.4,6,0,1,0,0,0,0,0
4.5,5,0,2,0,0,0,0,0
4.6,5,0,2,0,0,0,0,0
4.699999999999999,4,0,3,0,1,0,0,0
4.799999999999999,4,0,3,0,1,1,0,1
4.899999999999999,4,0,2,0,1,0,0,2
4.999999999999998,5,0,1,1,0,0,0,2
5.099999999999998,5,0,1,2,0,0,0,1
5.1999999999999975,6,0,1,2,0,0,0,1
5.299999999999997,5,0,1,2,0,0,0,0
5.399999999999997,6,0,2,1,0,0,0,0
5.4999999999999964,6,0,3,1,0,0,0,0
5.599999999999996,7,1,3,1,0,0,0,0
5.699999999999996,7,0,3,1,0,0,0,0
5.799999999999995,7,0,3,1,0,0,0,0
5.899999999999995,7,1,2,1,0,0,0,0
5.999999999999995,7,1,3,1,0,0,0,2
6.099999999999994,7,1,2,1,0,0,0,1
6.199999999999994,7,1,2,2,0,0,0,2
6.299999999999994,7,1,2,2,0,0,0,1
6.399999999999993,7,1,2,2,0,0,0,3
6.499999999999993,6,0,2,1,0,0,0,2
6.5999999999999925,6,0,2,1,0,0,0,2
6.699999999999992,5,0,3,1,0,0,0,1
6.799999999999992,6,0,3,1,0,0,0,1
6.8999999999999915,5,0,4,1,0,1,0,1
6.999999999999991,6,0,4,1,0,1,0,2
7.099999999999991,6,0,3,1,0,2,0,1
7.19999999999999,5,0,2,1,0,2,0,0
7.29999999999999,5,0,2,1,0,2,0,0
7.39999999999999,4,0,3,1,0,2,0,0
7.499999999999989,4,0,3,1,0,2,0,0
7.599999999999989,4,0,3,0,0,2,0,1
7.699999999999989,3,0,4,0,0,2,0,1
7.799999999999988,3,0,4,0,0,2,0,1
7.899999999999988,3,0,4,1,0,2,0,0
7.999999999999988,3,0,3,1,0,2,0,0
8.099999999999987,2,0,3,1,0,3,0,0
8.199999999999987,2,0,2,1,0,4,0,1
8.299999999999986,2,0,1,1,0,4,0,0
8.399999999999986,2,0,1,1,0,4,0,1
8.499999999999986,2,0,1,1,0,4,0,1
8.599999999999985,2,0,1,0,0,3,0,1
8.699999999999985,3,0,1,0,0,3,0,1
8.799999999999985,2,1,1,0,0,3,0,0
8.899999999999984,2,1,1,0,0,3,0,0
8.999999999999984,2,2,1,0,0,3,0,0
9.099999999999984,2,2,0,0,0,3,0,0
9.199999999999983,2,2,1,0,0,3,0,0
9.299999999999983,3,2,0,0,0,3,0,0
9.399999999999983,3,2,0,0,0,3,0,1
9.499999999999982,3,2,0,0,0,3,0,0
9.599999999999982,3,2,0,0,0,3,0,0
9.699999999999982,3,1,1,0,0,3,0,2
9.799999999999981,3,1,1,0,0,2,0,3
9.89999999999998,3,0,1,0,0,2,0,2
9.99999999999998,4,0,1,0,0,2,0,2
10.09999999999998,3,1,1,0,0,2,0,2
10.19999999999998,3,1,1,0,0,2,0,2
10.29999999999998,3,1,1,0,0,2,0,2
10.399999999999979,2,2,0,0,0,2,0,2
10.499999999999979,1,2,1,0,0,2,0,1
10.599999999999978,1,2,1,0,0,3,0,1
10.699999999999978,1,2,1,0,0,3,0,1
10.799999999999978,1,2,1,0,1,3,0,3
10.899999999999977,1,1,1,0,0,2,0,2
10.999999999999977,2,1,1,0,0,2,0,3
11.099999999999977,2,0,1,0,0,3,0,3
11.199999999999976,2,0,1,0,0,3,0,3
11.299999999999976,2,0,1,0,0,3,0,3
11.399999999999975,3,0,1,0,1,4,0,3
11.499999999999975,3,0,0,0,1,4,0,2
11.599999999999975,3,0,0,0,1,4,0,2
11.699999999999974,2,1,0,0,1,4,0,1
11.799999999999974,3,1,0,0,1,4,0,1
11.899999999999974,2,1,0,0,1,4,0,1
11.999999999999973,2,1,0,0,1,3,0,1
12.099999999999973,2,0,0,1,1,3,0,1
12.199999999999973,3,1,1,1,0,3,0,1
12.299999999999972,3,0,0,2,0,3,0,1
12.399999999999972,4,0,0,2,0,3,0,1
12.499999999999972,4,0,0,2,0,4,0,1
12.599999999999971,5,0,0,2,0,4,0,1
12.69999999999997,5,0,0,3,0,4,0,0
12.79999999999997,5,1,0,2,0,4,0,0
12.89999999999997,5,1,0,2,0,4,0,0
12.99999999999997,5,1,0,3,1,4,0,0
13.09999999999997,5,2,0,3,1,3,0,1
13.199999999999969,4,1,0,3,1,3,0,2
13.299999999999969,5,1,0,3,1,3,0,1
13.399999999999968,5,1,0,3,0,3,0,3
13.499999999999968,6,1,0,3,0,3,0,3
13.599999999999968,5,1,0,3,0,3,0,2
13.699999999999967,5,2,0,3,0,3,0,2
13.799999999999967,5,2,0,3,0,3,0,1
13.899999999999967,6,2,0,3,0,3,0,2
13.999999999999966,6,2,0,3,0,3,0,1
14.099999999999966,7,2,0,3,0,3,0,1
14.199999999999966,7,2,0,3,0,2,0,1
14.299999999999965,7,2,1,3,0,2,0,2
14.399999999999965,8,1,1,3,0,2,0,1
14.499999999999964,8,1,1,4,0,2,0,1
14.599999999999964,9,1,1,4,0,2,0,2
14.699999999999964,9,1,0,4,0,2,0,3
14.799999999999963,10,1,0,4,0,2,0,2
14.899999999999963,9,1,0,4,0,3,0,3
